smiles	class_results	superclass_results	pathway_results	isglycoside
CCCCCCCCCC(=O)CCCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CCCCCCCC(=O)C1C(=O)CCCC1=O	Simple cyclic polyketides	Cyclic polyketides	Polyketides	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	False
CCCCCCCCC=CCCCCCCCC(=O)OCC1CO1			Fatty acids	False
CCC(C)C(=O)OC1CCC=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O	Monacolins and Monacolin derivatives	Cyclic polyketides	Polyketides	False
CCCCCC=CCC=CCC=CCC1C(O1)CCCC(=O)OC	Epoxyeicosatrienoic acids	Eicosanoids	Fatty acids	False
CCCCCCC12CC3CCC4CC5(C(C6(C4C3(C(C1(CCC7(C2CC(CC7)(C)C(=O)[O-])C)C)CC6)C)CO5)CCC)O	Lupane triterpenoids	Triterpenoids	Terpenoids	True
CCCCCC=CCC=CCCCCCCCC(=O)NCCO	N-acyl ethanolamines (endocannabinoids)	Fatty amides	Fatty acids	False
CCCCCCCCCCCCCCCC(=O)OCC=C(C)CCC1C(=C)CCC2C1(CCCC2(C)C(=O)OC)C	Labdane diterpenoids	Diterpenoids	Terpenoids	False
CC12CC3(OC(O1)(CC(O2)(P3C4=CC=CC=C4)C)C)C				False
CC(=O)OC1C(C(OC(C1OC(=O)C)OC2=CC=C(C=C2)C=CC(=O)O)COC(=O)C=CC3=CC=C(C=C3)O)O	Cinnamic acids and derivatives	Phenylpropanoids (C6-C3)	Shikimates and Phenylpropanoids	True
CCC=CCC=CCC=CCC=CCCCCC(=O)CC(=O)O	Oxo fatty acids	Fatty Acids and Conjugates	Fatty acids	False
CC(C)(C)OC(=O)N1CC(=C)CC1C(=O)O				False
CCCCCCCCC=CCCCCCCC(C(CCCCCCCC=CCCCCCC)OC(=O)C)C(=O)OC	Fatty acid estolides,Wax monoesters	Fatty esters	Fatty acids	False
CCCCCC#COC(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CC(=C)C(C#N)OC1C(C(C(C(O1)CO)O)O)O	Cyanogenic glycosides	Amino acid glycosides	Amino acids and Peptides	True
CCCCCCC=CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCC=CCC=CCC	Diacylglycerols	Glycerolipids	Fatty acids	False
CCCCCCCCCCCCC(C(C(CO)N)O)O	Sphingoid bases	Sphingolipids	Fatty acids	False
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC1CC(OC1CCCCC)C(CCCCCCCC=C)O			Fatty acids	False
CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)C	Monacolins and Monacolin derivatives	Cyclic polyketides	Polyketides	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C	Carotenoids (C40, β-β)	Carotenoids (C40)	Terpenoids	False
CCOC(=O)C1=CC=CC=C1N(CC(=O)N(C)C)C(=O)C			Alkaloids,Shikimates and Phenylpropanoids	False
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OC(CO)CO	Diacylglycerols	Glycerolipids	Fatty acids	False
CC1C(=O)C(C(C(O1)C2=C(C3=C(C=C2O)OC(=CC3=O)C4=CC(=C(C=C4)O)OC)O)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	False
C1=CC(=CC=C1CN2C=NC3=C2N=CNC3=O)[N+](=O)[O-]	Imidazole alkaloids	Histidine alkaloids	Alkaloids	False
CCCCCCCCCCCCOC(=O)CCCCCCCC=CCC=CCCCCC	Wax monoesters	Fatty esters	Fatty acids	False
COC1C(OC(C(C1O)N)OC2C(CC(C(C2O)O)N)N)CN	Amino cyclitols	Polyols	Carbohydrates	True
CCCCC1=CN=C(C=C1)C(=O)O	Pyridine alkaloids	Nicotinic acid alkaloids	Alkaloids	False
CCOC(=O)C1=CC=CC=C1N(CC(=O)N(C)C)C(=O)C			Alkaloids,Shikimates and Phenylpropanoids	False
CC1CCC2(C(C1(C)CCC(C)CCOC(=O)C)CCC=C2COC(=O)C)C	Colensane and Clerodane diterpenoids	Diterpenoids	Terpenoids	False
CCCCCCCCC=CCCCCCCC(C(CCCCCCCC=CCCCCCC)OC(=O)C)C(=O)OC	Fatty acid estolides,Wax monoesters	Fatty esters	Fatty acids	False
CCCCCCCCCCCCCCCC(=O)NCCNC(=O)CCCCCCCCCCCCCCC	N-acyl amines	Fatty amides	Fatty acids	False
CCCCCCCCCCCCCCCCCC(=O)NCCCCON1C(=NC2=C1C3=CC=CC=C3N=C2N)CCCC			Alkaloids	False
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OC(CO)CO	Diacylglycerols	Glycerolipids	Fatty acids	False
CCCCCC=CCC=CCC=CCC1C(O1)CCCC(=O)OC	Epoxyeicosatrienoic acids	Eicosanoids	Fatty acids	False
CCCCCCCCC=CCCCCCCCC(=O)OCC1CO1			Fatty acids	False
CC(=O)N1CCN(CC1)C2=NC=CC(=C2)C3=NOC(=N3)C4CCCN4CC(C)(C)C		Lysine alkaloids	Alkaloids	False
CC(CC(C)(CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4			Alkaloids	False
CCC(CCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(C)C	Stigmastane steroids	Steroids	Terpenoids	False
C1=CC=C(C=C1)NC2=CC=CC=C2			Shikimates and Phenylpropanoids	False
CCCCCCCCCCCCCCCCCC(=O)NCCNC(=O)CCCCCCCCCCCCCCCCC	N-acyl amines	Fatty amides	Fatty acids	False
CCCCCCC=CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCC=CCC=CCC	Diacylglycerols	Glycerolipids	Fatty acids	False
CCCCCCCCCC(=O)CCCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CCC=CCC=CCC=CCCCCCCCC=O	Fatty aldehydes	Fatty acyls	Fatty acids	False
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C=CC(=O)C2(C)C)C)C)C	Carotenoids (C40, β-β)	Carotenoids (C40)	Terpenoids	False
CCC=CCC=CCC=CCCCCCCCC=O	Fatty aldehydes	Fatty acyls	Fatty acids	False
CC(C(=O)O)NCCO	Aminoacids	Small peptides	Amino acids and Peptides	False
C(CCC(=O)O)CC1=C(C(=CC(=O)O)OC1=O)O			Polyketides	False
C1CCNC(C1)C(=O)O	Aminoacids,Dipeptides	Small peptides	Amino acids and Peptides	False
C1=C(C=C(C=C1C(=O)N)C(=O)O)C(=O)N	Simple amide alkaloids	Peptide alkaloids	Alkaloids	False
CC(C(=O)O)NCCO	Aminoacids	Small peptides	Amino acids and Peptides	False
CC(=O)OC1C(C(C(OC1C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=C(C=C4)O)O)OC)CO)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	False
CCCCCCCC(=C1C(=O)CCCC1=O)O	Polyprenylated cyclic polyketides (Hop meroterpenoids)	Meroterpenoids	Polyketides	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CCCCCC#COC(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)C4C(C(C(C(O4)CO)O)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	False
CC(C)NC(=O)C(=O)NC1=NN=C(S1)S(=O)(=O)N			Alkaloids,Amino acids and Peptides	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
C1=CC(=C(C2=C1C=CC(=O)O2)C3=C(C=C4C(=C3)C=CC(=O)O4)O)OC5C(C(C(C(O5)CO)O)O)O	Simple coumarins	Coumarins	Shikimates and Phenylpropanoids	True
CCCCCC=CCC=CCCCCCCCC(=O)OCC=C(COC(=O)C)C(CC=C(C)C#CC=C(C)C)OC(=O)C		Fatty esters	Fatty acids	False
CCCCCCCC(=O)C1C(=O)CCCC1=O	Simple cyclic polyketides	Cyclic polyketides	Polyketides	False
CC1(CC2=C3C=C(C(=O)C(C3(C4C2C4)C)O)C(CC5=C6C=C1C(=O)C(C6(C7C5C7)C)O)(C)C(=O)OC)C(=O)OC	Cycloeudesmane sesquiterpenoids	Sesquiterpenoids	Terpenoids	False
CCC(CCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(C)C	Stigmastane steroids	Steroids	Terpenoids	False
CC1=CC2C(CC1)(C3(C(C(C(C34CO4)O2)O)OC5C(C(C(C(O5)CO)O)O)O)C)COC(=O)C	Trichothecane sesquiterpenoids	Sesquiterpenoids	Terpenoids	True
C1=CC=C(C=C1)NC2=CC=CC=C2			Shikimates and Phenylpropanoids	False
CCCCCCCCCCCCCCCCCCN1C2=CC=CC=C2C(C1=CN=C3C4=C(C=CC3=O)N=CC=C4)(C)C			Alkaloids	False
CCCCC(=O)C=CC=CC(=O)CCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CC(C)CC(=O)OCC1=COC(C2C1CC(C23CO3)OC(=O)C)OC(=O)CC(C)C	Iridoids monoterpenoids	Monoterpenoids	Terpenoids	True
C1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O	Simple phenolic acids	Phenolic acids (C6-C1)	Shikimates and Phenylpropanoids	True
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O)C4C(C(C(C(O4)CO)O)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	False
CCCCCCCCC=CCCCCCCCC(=O)N	Primary amides	Fatty amides	Fatty acids	False
CC(C)C1=CC(=O)C(=CC=C1C=CC(C)(C)O)OC2C(C(C(C(O2)CO)O)O)O			Terpenoids	True
CCC(C(C)C(C(CC(C)CCC=C(C)C1C(C=CC(C(CCC(CC(=O)O1)O)(C)O)OC(=O)C)C)O)O)O	Macrolide lactones	Macrolides	Polyketides	False
CCCCCCCCC=CCCCCCCCC(=O)N	Primary amides	Fatty amides	Fatty acids	False
CCC(C)C(C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)O)NC(=O)C(C(C)O)N	Tripeptides	Small peptides	Amino acids and Peptides	False
CCCCCC=CCC=CCCCCCCCC(=O)OCC=C(COC(=O)C)C(CC=C(C)C#CC=C(C)C)OC(=O)C		Fatty esters	Fatty acids	False
CC(=O)OCCCC=CC=CC#CC#CC=CCOC(=O)C	Wax monoesters	Fatty esters	Fatty acids	False
C1=CC=C(C=C1)NC2=CC=CC=C2			Shikimates and Phenylpropanoids	False
C1COCCOCCN2CCOCCOCCN1CCOCCOCC2				False
C(CC(C(=O)O)NCC(=O)C(C(C(CO)O)O)O)CN=C(N)N	Aminosugars	Aminosugars and aminoglycosides	Carbohydrates	False
C1CC(N(C1)C(=O)N)C(=O)O	Dipeptides	Small peptides	Amino acids and Peptides	False
CCCCCC#COC(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CCCCCCCCCCCCCCCCCCCCCC(=O)N	Primary amides	Fatty amides	Fatty acids	False
CC(=O)OC1CCC2(C(C1(C)C)CCC3(C2CC=C4C3(CCC5(C4CC(C(C5OC(=O)C)OC(=O)C)(C)C)C)C)C)C	Oleanane triterpenoids	Triterpenoids	Terpenoids	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CC(C)CN(C(C(C)C)C(=O)NO)S(=O)(=O)C1=CC=CC(=C1)COC				False
COC1=CC(=CC(=C1OC)OC)C(=O)OCC2CCN(CC2)CCC3=CC=CC=C3			Alkaloids	False
CCCCCCCCCCCCCCCC(=O)OCC=C(C)CCC1C(=C)CCC2C1(CCCC2(C)C(=O)OC)C	Labdane diterpenoids	Diterpenoids	Terpenoids	False
CC(C)(C)CN1CCCC1C2=NC(=NO2)C3=CC(=NC=C3)N4CCC(CC4)C(=O)N			Alkaloids	False
C1=CC=C(C=C1)NC2=CC=CC=C2			Shikimates and Phenylpropanoids	False
CCC=CCC=CCC=CCCCCCCCC(=O)OCC(CO)O	Monoacylglycerols	Glycerolipids	Fatty acids	False
CCCCCCCCC=CCCCCCCCC(=O)OCC(C)O	Wax monoesters	Fatty esters	Fatty acids	False
COC1=C(C=CC(=C1)C(CC(=O)OC)C2=C(C=C(C3=C2OC(=C(C3=O)O)C4=CC(=C(C=C4)O)O)O)O)O	Flavonols	Flavonoids	Shikimates and Phenylpropanoids	False
CC1=CCCC(=C)C(CCC(=CC(C(CC1)C(=C)C)OC(=O)C)COC(=O)C)O	Cembrane diterpenoids,Dolabellane diterpenoids	Diterpenoids	Terpenoids	False
CCCCC(=O)C=CC=CC(=O)CCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CC(C)CCCCCCCC=CC(=O)NO			Fatty acids	False
CCCCCC#COC(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC1CC(OC1CCCCC)C(CCCCCCCC=C)O			Fatty acids	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)O			Fatty acids	False
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O	Glycerophosphoethanolamines	Glycerophospholipids	Fatty acids	False
CCCCCCCCCCCCCCCCCC(=O)OCC1CO1	Wax monoesters	Fatty esters	Fatty acids	False
C1=CC2=C(C(=C1)O)C(=O)C3=C(C2(C4=C(C5=C(C=C4)C(=O)C6=C(C=CC(=C6C5=O)O)O)O)O)C=C(C=C3O)CO	Anthraquinones and anthrones	Polycyclic aromatic polyketides	Polyketides	False
CC1=CC(C2(C(CC(C2C(C1)OC(=O)C3=CC=C(C=C3)C)(C(C)C)O)OC(=O)C)C)OC(=O)C4=CC=CC=C4	Daucane sesquiterpenoids	Sesquiterpenoids	Terpenoids	False
CC1=CC(=CC(=C1OC2C(C(C(C(O2)COC(=O)C3=CC(=C(C(=C3)O)O)O)O)O)O)O)O	Gallotannins	Phenolic acids (C6-C1)	Shikimates and Phenylpropanoids	True
C1=C(C=C(C=C1C(=O)N)C(=O)O)C(=O)N	Simple amide alkaloids	Peptide alkaloids	Alkaloids	False
C1=C(SC(=C1)NCCCC2=C(N=C(NC2=O)N)N)C(=O)NC(CCC(=O)O)C(=O)O				False
CC(=O)NC1C(CC(OC1C(C(CNC(=O)C2=CC3=CC=CC=C3C=C2)O)O)(C(=O)O)O)O	Aminosugars	Aminosugars and aminoglycosides	Carbohydrates	True
CC1C(C(C(C(O1)OC2C(C(C(OC2C3=C(C4=C(C=C3O)OC(=CC4=O)C5=CC(=C(C=C5)O)O)O)CO)O)O)O)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	True
CN1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)NC4CCN(CC4)C)OC)OCCCN(C)C	Isoquinoline alkaloids	Tyrosine alkaloids	Alkaloids	False
CCCCCCCCCC(=O)OC1CCC2(C(C1(C)C)CCC3(C2C(=O)C=C4C3(CCC5(C4C(C(CC5)C)C)C)C)C)C	Ursane and Taraxastane triterpenoids	Triterpenoids	Terpenoids	False
CC(C(=O)O)NCCO	Aminoacids	Small peptides	Amino acids and Peptides	False
CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N(C=C)C=C				False
C1=CC=C(C=C1)C(=O)OC2C(C(C(OC2OC3=C(C=C(C=C3)O)COC(=O)C4=CC=CC=C4O)CO)O)O	Simple phenolic acids	Phenolic acids (C6-C1)	Shikimates and Phenylpropanoids	True
CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCC=C(C)C)C(=C1O)C)C	Prenyl quinone meroterpenoids	Meroterpenoids	Terpenoids	False
CCCCCCC12CC3CCC4CC5(C(C6(C4C3(C(C1(CCC7(C2CC(CC7)(C)C(=O)[O-])C)C)CC6)C)CO5)CCC)O	Lupane triterpenoids	Triterpenoids	Terpenoids	True
C1CC(=O)NC1C(=O)O	Aminoacids	Small peptides	Amino acids and Peptides	False
CCCCCC=CCC=CCCCCCCCC(=O)OCC1CO1			Fatty acids	False
CC1=CCCC(=C)C(CCC(=CC(C(CC1)C(=C)C)OC(=O)C)COC(=O)C)O	Cembrane diterpenoids,Dolabellane diterpenoids	Diterpenoids	Terpenoids	False
CN(C)CCCOC(C(C=O)O)C(C(CO)O)O	Aminosugars	Aminosugars and aminoglycosides	Carbohydrates	False
C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C=C3)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	False
C1=CC=C(C=C1)NC2=CC=CC=C2			Shikimates and Phenylpropanoids	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CCCCCCCCC=CCCCCCCCC(=O)N	Primary amides	Fatty amides	Fatty acids	False
C(CO)NC(=O)CN(CC(=O)NCCO)CC(=O)NCCO			Amino acids and Peptides	False
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OC(CO)CO	Diacylglycerols	Glycerolipids	Fatty acids	False
CC1(CC(C(C1CO)CCOC2C(C(C(C(O2)CO)O)O)O)OC(=O)C3=CC=C(C=C3)OC)O	Iridoids monoterpenoids	Monoterpenoids	Terpenoids	True
CC=C(C)C(=O)OC1C(C=C(C2=CCC(C12C)C3=COC=C3)C=C4C=C(C(C(OC4=O)(C)C)CC(=O)OC)C)OC(=O)C	Limonoids	Triterpenoids	Terpenoids	False
CCCCCCCCCCCCCCCC(=O)OCC=C(C)CCC1C(=C)CCC2C1(CCCC2(C)C(=O)OC)C	Labdane diterpenoids	Diterpenoids	Terpenoids	False
C1=COC(=C1)C(=O)CNCCCCC(C(=O)O)N	Aminoacids	Small peptides	Amino acids and Peptides	False
COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)C4C(C(C(C(O4)CO)O)O)O)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	False
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)O)C)C)C2C1O)C)C(=O)O)C	Oleanane triterpenoids	Triterpenoids	Terpenoids	False
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC1CC(OC1CCCCC)C(CCCCCCCC=C)O			Fatty acids	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CC(C(=O)O)NCCO	Aminoacids	Small peptides	Amino acids and Peptides	False
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OC(CO)CO	Diacylglycerols	Glycerolipids	Fatty acids	False
CCCCCCCCCC(=O)CCCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CCCCCC=CCC=CCCCCCCCC(=O)OCC(CO)O	Monoacylglycerols	Glycerolipids	Fatty acids	False
C1CC(=O)C(=C1)CCCCCCC(=O)O				False
CCCCCCCCC=CCCCCCCC(C(CCCCCCCC=CCCCCCC)OC(=O)C)C(=O)OC	Fatty acid estolides,Wax monoesters	Fatty esters	Fatty acids	False
C(CC(=O)NCCNC(=O)CCC(=O)O)CC(=O)O				False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CCCCCNS(=O)(=O)C1=C(C=CC(=C1)S(=O)(=O)N)C(=O)O			Alkaloids	False
CC1C2C3=CCC4C5(CCC(=O)C(C5=CCC4(C3(CCC2(CCC1=C)C)C)C)(C)C)C	Lanostane, Tirucallane and Euphane triterpenoids	Triterpenoids	Terpenoids	False
CN(C(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O	Tripeptides	Small peptides	Amino acids and Peptides	False
CC1C(C(C(C(O1)OC2C(C(C(OC2C3=C(C4=C(C=C3O)OC(=CC4=O)C5=CC(=C(C=C5)O)O)O)CO)O)O)O)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	True
COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)C4C(C(C(C(O4)CO)O)O)O)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	False
CC1C2CC(C(=C)C3CC(C(=C)C3C2OC1=O)OC4C(C(C(C(O4)CO)O)O)O)O	Guaiane sesquiterpenoids	Sesquiterpenoids	Terpenoids	True
